id,coord_x,coord_y,temp,cond,Cl,Ca,Si,Na,K,Mg
Termal Sitio U-1,-85.3932,10.7821,46.5,523.0,9.8,58.9,157.0,57.7,11.2,16.9
Termal CTP-3,-85.348,10.7448,46.0,912.0,15.0,79.0,150.0,107.0,14.0,45.0
Termal CTP-2,-85.3482,10.7448,46.0,915.0,16.2,78.4,150.0,104.2,10.6,46.3
Termal Guayabal,-85.3202,10.8262,59.0,728.0,104.0,3344.0,265.0,55.0,3.0,37.0
Termal G-15,-85.3501,10.7601,52.2,680.0,22.4,110.2,145.0,68.3,12.4,20.1
Termal G-07,-85.3301,10.8002,55.3,702.0,45.1,210.0,189.0,72.5,13.2,25.7
Termal Rincón-4,-85.3722,10.7705,63.8,790.0,18.8,120.4,201.0,80.0,15.7,28.0
Termal Quebrada-2,-85.3105,10.8503,49.1,610.0,12.9,66.7,133.0,50.0,9.8,18.0
Termal Vaho-1,-85.365,10.795,71.2,850.0,22.0,140.0,205.0,88.0,17.5,30.4
Termal Vaho-2,-85.36,10.79,74.8,890.0,26.4,155.0,215.0,92.0,18.1,28.9
Termal Poza-1,-85.355,10.785,67.3,820.0,18.2,110.3,176.0,69.1,12.9,22.3
Termal Poza-2,-85.358,10.781,69.1,830.0,19.4,115.0,182.0,72.4,13.1,23.0
Termal Fumarola-3,-85.341,10.77,89.3,940.0,45.7,230.0,310.0,110.0,21.4,35.5
Termal Fumarola-1,-85.343,10.772,92.5,980.0,49.2,245.0,330.0,115.0,22.3,34.8
Termal Fumarola-2,-85.3445,10.774,87.1,960.0,43.5,225.0,298.0,108.0,20.7,33.1
Termal Quebrada-5,-85.299,10.86,44.8,540.0,9.1,60.0,142.0,49.0,8.1,16.7
Termal Quebrada-7,-85.3015,10.8581,47.3,565.0,10.4,62.3,148.0,53.2,8.8,17.5
Termal Quebrada-8,-85.3039,10.856,50.1,590.0,12.2,65.1,152.3,55.0,9.2,18.1
Termal Lodo-1,-85.37,10.81,78.4,910.0,28.8,170.5,250.0,95.3,18.4,30.0
Termal Lodo-2,-85.372,10.812,80.2,920.0,29.9,175.0,255.0,98.0,18.9,29.2
Termal Lodo-3,-85.368,10.808,76.0,905.0,27.5,168.2,242.0,90.1,17.2,28.4
Termal Río-1,-85.31,10.83,53.0,640.0,14.8,72.0,160.0,60.1,10.2,18.8
Termal Río-2,-85.312,10.833,54.2,650.0,15.1,73.0,162.0,61.0,10.5,19.0
Termal Río-3,-85.315,10.8355,55.9,665.0,15.7,75.5,165.0,62.3,10.9,19.5
Termal Hornillas-1,-85.34,10.82,88.0,970.0,40.3,210.0,295.0,106.2,20.9,33.0
Termal Hornillas-2,-85.341,10.822,85.6,950.0,38.8,205.4,288.0,103.5,20.4,32.4
Termal Hornillas-3,-85.3425,10.8235,90.1,980.0,41.2,215.3,305.0,112.1,22.0,34.1
Termal Azul-1,-85.32,10.81,61.5,720.0,17.0,98.0,175.0,66.0,12.0,21.7
Termal Azul-2,-85.322,10.8115,63.1,730.0,17.8,100.2,178.3,67.3,12.3,22.1
Termal Azul-3,-85.3185,10.809,60.2,715.0,16.4,95.7,172.0,64.1,11.7,21.0
Termal Azul-3_synt_897999,-85.31617535692851,10.803268682788303,56.64179500284361,722.4667662862379,16.0357377251736,105.07133399216339,178.37283204178385,61.53403028020756,11.212728269799138,19.755848261329966
Termal Quebrada-2_synt_378734,-85.31432049204719,10.854242079994755,48.47887006000882,604.3903276117829,13.459690909533036,70.95671350538908,142.02685855732548,45.23498320717139,9.94626550340977,17.594307351091064
Termal CTP-2_synt_690640,-85.3456099669467,10.74794347229367,45.00624881067379,1019.7955462979551,15.880278795155606,77.19102486929874,150.62998919877006,104.2990689550718,9.682430501414487,46.91911622419458
Termal Fumarola-2_synt_264997,-85.35018239006084,10.769999596435724,89.25807506225887,898.3971391240717,45.88129695951454,232.9357940328544,322.351759538377,107.57852931304146,22.867652547127378,28.832799209072544
Termal G-07_synt_445998,-85.33357098505088,10.802605017438815,53.30325076845467,669.0953456072921,42.30610885100098,215.41460811761416,200.9041369157858,73.7209511366898,13.862923169723974,24.292701183316044
Termal Vaho-1_synt_511968,-85.36535785245184,10.795981181998837,78.52009338542095,889.6645000674124,22.699453105401936,139.667291462443,190.66388258822167,86.7965265659617,18.243078438840552,29.068055131787837
Termal Quebrada-5_synt_449396,-85.29751031572481,10.862267561807851,43.40072057662925,554.3066452376244,9.149908705779403,62.44755853003979,151.84535976381102,51.386382732098205,8.043011231298857,16.603142366225235
Termal Sitio U-1_synt_390865,-85.39320816476437,10.781654820136254,44.5939657701201,473.7153973793308,9.15868417406179,56.08213889010277,142.68904948604154,56.34191981646242,10.25741818152738,15.72860840558513
Termal Quebrada-7_synt_984355,-85.30287757078902,10.857633809572173,44.44519442176697,590.2900753456893,10.853823038532402,65.87075487634881,139.62556480012663,51.18881322660541,9.120816914486323,17.659882930296174
